groupResult.Bipolar.ID	groupResult.Bipolar.chrom	groupResult.Bipolar.loc.start	groupResult.Bipolar.loc.end	groupResult.Bipolar.num.mark	groupResult.Bipolar.seg.mean
X.Bipolar.qn	10	121331294	121354583	11	0.169
X.Bipolar.qn	10	121355153	135498991	6566	-0.0174
X.Bipolar.qn	11	189654	22647609	10343	-0.0066
X.Bipolar.qn	11	22647642	22648074	4	-0.1824
X.Bipolar.qn	11	22648107	34940794	2220	0.025
X.Bipolar.qn	11	34949324	34999346	14	0.1584
X.Bipolar.qn	11	35000144	37386485	625	-0.0193
X.Bipolar.qn	11	37424116	40137955	58	0.1299
X.Bipolar.qn	11	40138552	85958536	17472	-0.0119
X.Bipolar.qn	11	85962936	85977891	5	0.2115
X.Bipolar.qn	11	85985677	102980466	2435	0.0237
X.Bipolar.qn	11	103072957	103399483	20	0.1706
X.Bipolar.qn	11	103401184	123487358	6381	-0.0056
X.Bipolar.qn	11	123490438	123495493	3	-0.3072
X.Bipolar.qn	11	123495671	134945853	3779	-0.0048
X.Bipolar.qn	12	186000	10534835	4897	-0.0039
X.Bipolar.qn	12	10538268	10749762	43	0.1572
X.Bipolar.qn	12	10752190	28406200	3652	0.0245
X.Bipolar.qn	12	28409714	28657738	23	0.1808
X.Bipolar.qn	12	28658134	55488148	7504	-8e-04
X.Bipolar.qn	12	55522515	55945613	50	0.1547
X.Bipolar.qn	12	55968117	122356316	17313	0.009
X.Bipolar.qn	12	122356390	122356781	5	0.1894
X.Bipolar.qn	12	122356852	132896743	4844	-0.0089
X.Bipolar.qn	12	132896859	132896939	3	0.299
X.Bipolar.qn	12	132897371	133779169	1088	-0.0101
X.Bipolar.qn	13	19448912	50624746	7684	0.0096
X.Bipolar.qn	13	50629584	50650086	6	0.2219
X.Bipolar.qn	13	50653048	101241206	5524	0.0336
X.Bipolar.qn	13	101241225	101241430	4	-0.2132
X.Bipolar.qn	13	101241591	115094006	5061	-0.0092
X.Bipolar.qn	14	19613906	20664307	41	0.2053
X.Bipolar.qn	14	20664580	22507813	986	-0.01
X.Bipolar.qn	14	22507887	22538812	13	0.2163
X.Bipolar.qn	14	22553290	42106137	4457	0.0075
X.Bipolar.qn	14	42133356	44922659	59	0.1629
X.Bipolar.qn	14	44922841	60867572	3528	0.0111
X.Bipolar.qn	14	60922815	60955348	16	0.2086
X.Bipolar.qn	14	60972853	61227118	179	0.0146
X.Bipolar.qn	14	61227762	61329252	14	0.1853
X.Bipolar.qn	14	61346194	101381265	12634	-0.0052
X.Bipolar.qn	14	101382009	101425944	63	0.1172
X.Bipolar.qn	14	101427238	103388915	1377	-0.0097
X.Bipolar.qn	14	103388958	103389022	3	0.2318
X.Bipolar.qn	14	103389067	104393771	802	-0.0173
X.Bipolar.qn	14	104394430	104396148	10	0.1439
X.Bipolar.qn	14	104397864	106878213	1794	-0.0171
X.Bipolar.qn	14	106891011	106916953	5	0.3475
X.Bipolar.qn	14	106931455	107288070	59	0.0761
X.Bipolar.qn	15	20152530	35599116	2890	0.0102
X.Bipolar.qn	15	35601271	35719413	7	0.2253
X.Bipolar.qn	15	35729282	49732282	4446	-0.0034
X.Bipolar.qn	15	49752768	49907433	10	0.1903
X.Bipolar.qn	15	49912175	56613350	1439	0.0082
X.Bipolar.qn	15	56633591	56656959	6	0.2475
X.Bipolar.qn	15	56657113	71194784	5384	-0.0063
X.Bipolar.qn	15	71199762	71302209	10	0.1595
X.Bipolar.qn	15	71305473	76226687	2318	-0.0103
X.Bipolar.qn	15	76233788	76348437	16	0.1851
X.Bipolar.qn	15	76349339	93427461	5679	-0.0067
X.Bipolar.qn	15	93427495	93442752	11	0.2157
X.Bipolar.qn	15	93443580	102513445	2633	0.0035
X.Bipolar.qn	16	85741	3507875	5142	-0.0175
X.Bipolar.qn	16	3507895	3507899	2	-0.5914
X.Bipolar.qn	16	3508002	7945755	1619	-0.0027
X.Bipolar.qn	16	7945775	8345814	15	0.1321
X.Bipolar.qn	16	8346717	49090004	8958	-0.0034
X.Bipolar.qn	16	49189804	49195595	6	0.1987
X.Bipolar.qn	16	49203024	58533743	3541	-0.0081
X.Bipolar.qn	16	58533766	58534681	7	-0.146
X.Bipolar.qn	16	58534708	81200199	6560	-0.0043
X.Bipolar.qn	16	81214503	81297434	39	0.2308
X.Bipolar.qn	16	81301226	89883191	6431	-0.0127
X.Bipolar.qn	16	89883240	89883248	2	-0.4889
X.Bipolar.qn	16	89883253	90163073	370	-0.0208
X.Bipolar.qn	17	3075	1155211	1073	-0.0033
X.Bipolar.qn	17	1157257	1163594	14	-0.2241
X.Bipolar.qn	17	1167873	28294675	11514	-0.0124
X.Bipolar.qn	17	28294791	28386534	11	0.1515
X.Bipolar.qn	17	28386587	29621943	334	-1e-04
X.Bipolar.qn	17	29622905	29625402	5	0.222
X.Bipolar.qn	17	29625600	34434265	1506	-0.0032
X.Bipolar.qn	17	34445934	34479862	7	0.3334
X.Bipolar.qn	17	34817706	44159144	6109	-0.0096
X.Bipolar.qn	17	44178504	44341754	63	0.2047
X.Bipolar.qn	17	44344142	81058949	18356	-0.0121
X.Bipolar.qn	17	81060149	81060259	3	0.3456
X.Bipolar.qn	18	10862	10935	5	0.3555
X.Bipolar.qn	18	11143	14132697	3143	0.008
X.Bipolar.qn	18	14154203	14748298	16	0.1854
X.Bipolar.qn	18	14759044	56526595	6037	0.0159
X.Bipolar.qn	18	56528679	56530106	12	-0.1419
X.Bipolar.qn	18	56530302	59864954	564	0.0186
X.Bipolar.qn	18	59866946	59934476	11	0.1902
X.Bipolar.qn	18	59965157	78012216	3561	0.0096
X.Bipolar.qn	19	264871	59097644	33192	-0.003
X.Bipolar.qn	2	18435	24011247	6799	-0.0042
X.Bipolar.qn	2	24026544	24049933	4	0.3242
X.Bipolar.qn	2	24051321	24788485	290	-5e-04
X.Bipolar.qn	2	24788694	24898450	19	0.1384
X.Bipolar.qn	2	24898491	36824259	3541	-0.0065
X.Bipolar.qn	2	36824275	36826004	14	-0.15
X.Bipolar.qn	2	36842633	39456703	903	0.0064
X.Bipolar.qn	2	39457989	39471182	8	0.1912
X.Bipolar.qn	2	39472684	40078792	148	0.0106
X.Bipolar.qn	2	40097661	40149258	9	-0.2299
X.Bipolar.qn	2	40165558	48543370	2532	-0.0061
X.Bipolar.qn	2	48545621	48604775	13	0.1768
X.Bipolar.qn	2	48641899	98529737	9637	5e-04
X.Bipolar.qn	2	98530285	98579411	12	0.167
X.Bipolar.qn	2	98583404	120600068	5052	5e-04
X.Bipolar.qn	2	120618660	120690022	8	0.1657
X.Bipolar.qn	2	120719470	130344243	2061	-0.0111
X.Bipolar.qn	2	130345044	130345405	4	0.2208
X.Bipolar.qn	2	130348025	153515784	3335	0.015
X.Bipolar.qn	2	153515945	153552097	6	0.1595
X.Bipolar.qn	2	153561958	191754464	7170	0.0261
X.Bipolar.qn	2	191760351	191815399	16	0.1571
X.Bipolar.qn	2	191827930	199174590	1073	0.0138
X.Bipolar.qn	2	199179295	199179829	4	0.4357
X.Bipolar.qn	2	199180702	243031026	14318	-0.0041
X.Bipolar.qn	20	68112	200336	19	0.1429
X.Bipolar.qn	20	207144	58411980	17628	-0.0013
X.Bipolar.qn	20	58422508	58488418	13	0.1808
X.Bipolar.qn	20	58505303	62948134	3041	-0.0109
X.Bipolar.qn	21	10990890	18003024	402	0.0532
X.Bipolar.qn	21	18003062	18743503	28	0.162
X.Bipolar.qn	21	18759721	38446584	3526	0.0148
X.Bipolar.qn	21	38452420	38454950	3	0.3282
X.Bipolar.qn	21	38456379	47648933	4716	-0.0108
X.Bipolar.qn	21	47649125	47649127	2	-0.5131
X.Bipolar.qn	21	47649172	48091011	347	-0.0067
X.Bipolar.qn	22	16868045	51222011	15845	-0.0107
X.Bipolar.qn	3	64070	33586733	7147	0.0017
X.Bipolar.qn	3	33599610	33688381	17	0.1603
X.Bipolar.qn	3	33700962	53926047	8017	-0.0152
X.Bipolar.qn	3	53926056	53926101	3	0.6212
X.Bipolar.qn	3	53926156	102775449	6362	0.014
X.Bipolar.qn	3	102845161	103602970	10	0.2369
X.Bipolar.qn	3	103624174	145789116	9841	0.0068
X.Bipolar.qn	3	145790097	145842110	9	0.2325
X.Bipolar.qn	3	145849587	146305975	95	0.0174
X.Bipolar.qn	3	146307157	146963668	34	0.1435
X.Bipolar.qn	3	146964246	157835557	2564	0.0193
X.Bipolar.qn	3	157839900	158237131	24	0.1703
X.Bipolar.qn	3	158257847	158991378	179	0.012
X.Bipolar.qn	3	158991454	158991638	4	0.2436
X.Bipolar.qn	3	159040317	197840782	9266	0.0066
X.Bipolar.qn	4	43882	46391532	11157	-0.0018
X.Bipolar.qn	4	46391694	46391737	3	0.462
X.Bipolar.qn	4	46391803	115964661	9839	0.0289
X.Bipolar.qn	4	115976239	117413101	32	0.2079
X.Bipolar.qn	4	117413432	136304052	1911	0.0377
X.Bipolar.qn	4	136356351	137235850	28	0.2074
X.Bipolar.qn	4	137249824	183933170	6808	0.0287
X.Bipolar.qn	4	183933931	183939315	4	0.2438
X.Bipolar.qn	4	183951118	190941752	2186	0.0106
X.Bipolar.qn	4	190942739	190943979	3	0.6014
X.Bipolar.qn	5	12322	4773497	3000	-0.0034
X.Bipolar.qn	5	4807034	4851261	5	0.277
X.Bipolar.qn	5	4863806	38949663	5120	0.0155
X.Bipolar.qn	5	38953624	39014336	8	0.1648
X.Bipolar.qn	5	39015114	50695337	1336	0.0317
X.Bipolar.qn	5	50695720	51878331	41	0.1687
X.Bipolar.qn	5	51952608	98541874	8688	0.0171
X.Bipolar.qn	5	98656475	99357253	8	0.2466
X.Bipolar.qn	5	99381840	122614190	3079	0.0329
X.Bipolar.qn	5	122620929	122680712	6	0.1945
X.Bipolar.qn	5	122707480	122885981	58	0.0181
X.Bipolar.qn	5	122915359	122923481	4	0.318
X.Bipolar.qn	5	122924054	132028185	1744	0.0096
X.Bipolar.qn	5	132035637	132050793	6	0.1533
X.Bipolar.qn	5	132056060	133702899	715	-0.0175
X.Bipolar.qn	5	133703500	133703889	5	-0.2043
X.Bipolar.qn	5	133705692	134367807	352	-0.0192
X.Bipolar.qn	5	134368217	134368219	2	-0.3488
X.Bipolar.qn	5	134368682	139782041	2189	-0.0141
X.Bipolar.qn	5	139785679	139889642	10	0.1542
X.Bipolar.qn	5	139891775	180876284	13010	-7e-04
X.Bipolar.qn	6	154566	255877	39	-0.0067
X.Bipolar.qn	6	257261	293285	19	0.2637
X.Bipolar.qn	6	297974	13616537	4374	-0.003
X.Bipolar.qn	6	13625427	13681972	14	0.1737
X.Bipolar.qn	6	13688241	29012588	5035	0.0029
X.Bipolar.qn	6	29012859	29067526	16	0.2131
X.Bipolar.qn	6	29113955	32518160	6567	-0.0219
X.Bipolar.qn	6	32525960	32526263	3	0.552
X.Bipolar.qn	6	32547019	89351153	12981	-0.0033
X.Bipolar.qn	6	89384426	89391994	3	0.2934
X.Bipolar.qn	6	89414977	123381486	5348	0.0129
X.Bipolar.qn	6	123385362	123959036	26	0.1607
X.Bipolar.qn	6	123959169	147704068	4776	0.0155
X.Bipolar.qn	6	147705971	147712296	4	0.274
X.Bipolar.qn	6	147727982	152963919	1497	0.0039
X.Bipolar.qn	6	152991083	153303409	46	0.1239
X.Bipolar.qn	6	153304131	163845084	2698	-0.0085
X.Bipolar.qn	6	163848720	163998331	22	0.1147
X.Bipolar.qn	6	163998574	171033352	3313	-0.0178
X.Bipolar.qn	7	41525	26132589	8890	-4e-04
X.Bipolar.qn	7	26137796	26143257	4	-0.4097
X.Bipolar.qn	7	26156403	31380572	2215	-0.002
X.Bipolar.qn	7	31380619	31381526	7	0.2449
X.Bipolar.qn	7	31412358	36131856	833	0.0044
X.Bipolar.qn	7	36134235	36134701	4	0.328
X.Bipolar.qn	7	36134806	73256925	6180	0.0013
X.Bipolar.qn	7	73257045	73257083	3	0.5866
X.Bipolar.qn	7	73257498	80255461	1560	8e-04
X.Bipolar.qn	7	80260364	80275884	11	-0.258
X.Bipolar.qn	7	80291832	118004330	8280	0.014
X.Bipolar.qn	7	118036164	119912636	41	0.1585
X.Bipolar.qn	7	119912723	130380731	2415	0.0083
X.Bipolar.qn	7	130391882	130524453	28	0.1502
X.Bipolar.qn	7	130530706	140144043	2458	-0.003
X.Bipolar.qn	7	140145550	140155810	3	0.3138
X.Bipolar.qn	7	140156225	142761232	714	0.0016
X.Bipolar.qn	7	142826230	142880306	14	-0.2972
X.Bipolar.qn	7	142903058	159023827	6274	-0.0094
X.Bipolar.qn	8	176533	599525	146	-0.0118
X.Bipolar.qn	8	599963	600488	4	0.4233
X.Bipolar.qn	8	600555	13516528	4018	-0.0066
X.Bipolar.qn	8	13518960	15051678	50	0.1215
X.Bipolar.qn	8	15093686	29157026	4415	-0.0045
X.Bipolar.qn	8	29157101	29178002	10	-0.191
X.Bipolar.qn	8	29186698	93823792	10835	0.0165
X.Bipolar.qn	8	93889931	93969144	18	0.2021
X.Bipolar.qn	8	93972898	146295100	14088	-0.0025
X.Bipolar.qn	9	73704	114860889	12215	0.0019
X.Bipolar.qn	9	114867324	114873243	3	0.2189
X.Bipolar.qn	9	114874419	123873749	1616	-0.0061
X.Bipolar.qn	9	123874353	123879532	3	0.2427
X.Bipolar.qn	9	123882166	140172908	8639	-0.0215
X.Bipolar.qn	9	140173347	140175219	7	0.1698
X.Bipolar.qn	9	140175393	141102504	558	-0.0099
X.Bipolar.qn.1	1	69591	1614009	1421	-0.0855
X.Bipolar.qn.1	1	1615736	1663781	10	-0.3684
X.Bipolar.qn.1	1	1663924	160068584	46958	-0.0066
X.Bipolar.qn.1	1	160068607	160068836	7	-0.3756
X.Bipolar.qn.1	1	160069052	167189623	2271	0.0145
X.Bipolar.qn.1	1	167189787	167190631	10	-0.2375
X.Bipolar.qn.1	1	167190990	231762238	16846	0.0143
X.Bipolar.qn.1	1	231762359	231762372	3	-0.9887
X.Bipolar.qn.1	1	231762459	249219611	4291	0.0171
X.Bipolar.qn.1	10	96730	28820707	8149	0.0109
X.Bipolar.qn.1	10	28821190	28822482	16	-0.1848
X.Bipolar.qn.1	10	28822500	79397346	9998	0.0128
X.Bipolar.qn.1	10	79397421	79397940	4	-0.4115
X.Bipolar.qn.1	10	79398055	93805590	3226	0.0115
X.Bipolar.qn.1	10	93805682	93805844	2	-0.6342
X.Bipolar.qn.1	10	93805870	135498991	15214	-0.0085
X.Bipolar.qn.1	11	189654	5951433	4973	-0.0464
X.Bipolar.qn.1	11	5959658	5960213	6	-0.2882
X.Bipolar.qn.1	11	5967520	7110074	612	7e-04
X.Bipolar.qn.1	11	7110083	7110148	4	-0.4452
X.Bipolar.qn.1	11	7112356	134945853	37764	0.0011
X.Bipolar.qn.1	12	186000	7781004	4098	-0.0052
X.Bipolar.qn.1	12	7781093	7781431	4	-0.8585
X.Bipolar.qn.1	12	7791451	12869492	1477	0.0272
X.Bipolar.qn.1	12	12869779	12870705	14	-0.2053
X.Bipolar.qn.1	12	12870959	54402468	9837	0.0091
X.Bipolar.qn.1	12	54402697	54402717	4	-1.6546
X.Bipolar.qn.1	12	54402888	68042072	4378	0.003
X.Bipolar.qn.1	12	68042445	68043561	7	-0.2854
X.Bipolar.qn.1	12	68043875	133779169	19603	0.0049
X.Bipolar.qn.1	13	19448912	115094006	18279	0.0173
X.Bipolar.qn.1	14	19613906	20483579	16	0.2666
X.Bipolar.qn.1	14	20484705	29235904	3309	0.0158
X.Bipolar.qn.1	14	29235907	29236535	12	-0.1718
X.Bipolar.qn.1	14	29237480	67980422	7842	0.0253
X.Bipolar.qn.1	14	67981515	67982152	6	-0.2658
X.Bipolar.qn.1	14	67982170	105885531	14404	-0.0064
X.Bipolar.qn.1	14	105886014	105886256	9	-0.3232
X.Bipolar.qn.1	14	105886413	107288070	442	-0.0506
X.Bipolar.qn.1	15	20152530	44580545	6115	0.0026
X.Bipolar.qn.1	15	44580828	44580919	5	-0.3163
X.Bipolar.qn.1	15	44580953	102513445	18729	0.0047
X.Bipolar.qn.1	16	85741	90163073	32692	-0.023
X.Bipolar.qn.1	17	3075	43971892	20450	-0.019
X.Bipolar.qn.1	17	43971894	43974344	16	-0.2458
X.Bipolar.qn.1	17	43974446	44204908	119	-0.0144
X.Bipolar.qn.1	17	44208035	44269794	31	0.2312
X.Bipolar.qn.1	17	44270211	81060259	18379	-0.021
X.Bipolar.qn.1	18	10862	60987425	10155	0.0161
X.Bipolar.qn.1	18	60987429	60988058	10	-0.2383
X.Bipolar.qn.1	18	60988096	67637515	643	0.0347
X.Bipolar.qn.1	18	67648055	67848525	34	-0.3523
X.Bipolar.qn.1	18	67858113	78012216	2507	-0.0129
X.Bipolar.qn.1	19	264871	59097644	33191	-0.0418
X.Bipolar.qn.1	2	18435	217454810	46454	0.014
X.Bipolar.qn.1	2	217455803	217455810	2	-0.6514
X.Bipolar.qn.1	2	217461746	243031026	10521	-0.0072
X.Bipolar.qn.1	20	68112	62948134	20701	-0.0037
X.Bipolar.qn.1	21	10990890	48091011	9024	9e-04
X.Bipolar.qn.1	22	16868045	17449277	28	0.2362
X.Bipolar.qn.1	22	17485612	42516113	10995	-0.0192
X.Bipolar.qn.1	22	42525206	42548868	13	-0.2881
X.Bipolar.qn.1	22	42551834	51222011	4809	-0.0367
X.Bipolar.qn.1	3	64070	138169728	29875	0.0118
X.Bipolar.qn.1	3	138170552	138170939	5	-0.3205
X.Bipolar.qn.1	3	138174025	197840782	13692	0.026
X.Bipolar.qn.1	4	43882	190943979	31971	0.0201
X.Bipolar.qn.1	5	12322	37371931	7706	0.0044
X.Bipolar.qn.1	5	37378050	37389899	10	-0.2577
X.Bipolar.qn.1	5	37413274	107005999	11082	0.037
X.Bipolar.qn.1	5	107006409	107006413	2	-0.7458
X.Bipolar.qn.1	5	107006512	146603831	10149	0.0212
X.Bipolar.qn.1	5	146606359	146614019	6	-0.2889
X.Bipolar.qn.1	5	146614352	180876284	10431	0.0011
X.Bipolar.qn.1	6	154566	28963001	9384	0.0189
X.Bipolar.qn.1	6	28963009	28963820	9	-0.242
X.Bipolar.qn.1	6	28963898	32116225	5996	-0.0267
X.Bipolar.qn.1	6	32116317	32117088	15	-0.2696
X.Bipolar.qn.1	6	32117281	32525979	662	-0.0263
X.Bipolar.qn.1	6	32526263	32668561	19	0.2976
X.Bipolar.qn.1	6	32684529	171033352	30696	0.012
X.Bipolar.qn.1	7	41525	22704884	7975	-0.0313
X.Bipolar.qn.1	7	22705291	22705333	3	-0.4781
X.Bipolar.qn.1	7	22705607	77045539	11261	0.0043
X.Bipolar.qn.1	7	77045887	77045902	2	-0.6847
X.Bipolar.qn.1	7	77046134	77166136	29	0.0757
X.Bipolar.qn.1	7	77166345	77166702	8	-0.2306
X.Bipolar.qn.1	7	77166857	117065034	8557	0.0108
X.Bipolar.qn.1	7	117067136	117067752	7	-0.2353
X.Bipolar.qn.1	7	117067804	141719014	5551	0.0141
X.Bipolar.qn.1	7	141730337	141794412	7	-0.2615
X.Bipolar.qn.1	7	141804551	159023827	6534	-0.0238
X.Bipolar.qn.1	8	176533	71314455	16538	0.0078
X.Bipolar.qn.1	8	71314979	71316769	13	-0.2061
X.Bipolar.qn.1	8	71316869	146295100	17033	0.0075
X.Bipolar.qn.1	9	73704	141102504	23041	-0.0026
X.Bipolar.qn.2	1	69591	17054957	10914	-0.001
X.Bipolar.qn.2	1	17215477	17273065	25	-0.2915
X.Bipolar.qn.2	1	17278349	148929710	31711	0.0026
X.Bipolar.qn.2	1	149105795	149231370	27	-0.3079
X.Bipolar.qn.2	1	149239082	249219611	29139	5e-04
X.Bipolar.qn.2	10	96730	134593727	35306	0.0021
X.Bipolar.qn.2	10	134594987	134597358	16	0.2173
X.Bipolar.qn.2	10	134597884	135498991	1287	-0.0066
X.Bipolar.qn.2	11	189654	2214677	2906	-0.0067
X.Bipolar.qn.2	11	2215862	2218959	2	0.4726
X.Bipolar.qn.2	11	2219053	3238736	1236	0.0053
X.Bipolar.qn.2	11	3238777	3243891	21	-0.2177
X.Bipolar.qn.2	11	3244486	17586045	4938	-0.0021
X.Bipolar.qn.2	11	17591822	17591837	2	-0.5866
X.Bipolar.qn.2	11	17591873	57770802	7753	-0.0022
X.Bipolar.qn.2	11	57789944	57792403	8	-0.3431
X.Bipolar.qn.2	11	57794640	134945853	26493	1e-04
X.Bipolar.qn.2	12	186000	7986646	4176	7e-04
X.Bipolar.qn.2	12	7996790	8124127	45	0.183
X.Bipolar.qn.2	12	8128248	12529927	1207	-0.003
X.Bipolar.qn.2	12	12532985	12540867	3	-0.425
X.Bipolar.qn.2	12	12545597	54402468	9999	0.0012
X.Bipolar.qn.2	12	54402697	54402717	4	-0.3048
X.Bipolar.qn.2	12	54402888	133779169	23988	8e-04
X.Bipolar.qn.2	13	19448912	79233273	10455	8e-04
X.Bipolar.qn.2	13	79233349	79233506	2	-0.9055
X.Bipolar.qn.2	13	79234144	114988303	7747	-0.0013
X.Bipolar.qn.2	13	114991689	114991864	3	-0.3051
X.Bipolar.qn.2	13	114992068	115094006	72	0.0021
X.Bipolar.qn.2	14	19613906	20404281	13	-0.306
X.Bipolar.qn.2	14	20469394	107288070	26027	2e-04
X.Bipolar.qn.2	15	20152530	102513445	24849	0.0027
X.Bipolar.qn.2	16	85741	70693018	22873	-0.0028
X.Bipolar.qn.2	16	70694508	70714606	18	-0.1435
X.Bipolar.qn.2	16	70715140	72088244	649	0.0042
X.Bipolar.qn.2	16	72089440	72106315	6	-0.2693
X.Bipolar.qn.2	16	72115941	90163073	9146	-0.0019
X.Bipolar.qn.2	17	3075	8383867	6831	-0.0053
X.Bipolar.qn.2	17	8384595	8384809	4	-0.3385
X.Bipolar.qn.2	17	8385773	44159144	13738	0.0029
X.Bipolar.qn.2	17	44178504	44269794	43	0.296
X.Bipolar.qn.2	17	44270211	63530161	6955	0.0087
X.Bipolar.qn.2	17	63530270	63554536	18	-0.1545
X.Bipolar.qn.2	17	63554800	81060259	11406	-0.0034
X.Bipolar.qn.2	18	10862	78012216	13349	0.0022
X.Bipolar.qn.2	19	264871	51105087	28290	-0.0044
X.Bipolar.qn.2	19	51107558	51107560	2	-1.3098
X.Bipolar.qn.2	19	51108184	59097644	4900	0.002
X.Bipolar.qn.2	2	18435	4184127	2167	-6e-04
X.Bipolar.qn.2	2	4188377	4188382	2	0.5524
X.Bipolar.qn.2	2	4188400	66670114	15371	-0.0014
X.Bipolar.qn.2	2	66671478	66675880	16	-0.1655
X.Bipolar.qn.2	2	66683820	243031026	39421	0.0025
X.Bipolar.qn.2	20	68112	1206682	554	0.0018
X.Bipolar.qn.2	20	1206693	1206703	3	0.3375
X.Bipolar.qn.2	20	1206739	4991554	1737	-0.0025
X.Bipolar.qn.2	20	4991784	4991786	2	-0.5391
X.Bipolar.qn.2	20	5004919	62948134	18405	0.004
X.Bipolar.qn.2	21	10990890	30375227	1330	-0.0093
X.Bipolar.qn.2	21	30389043	30401355	31	0.2024
X.Bipolar.qn.2	21	30426230	48091011	7663	0.0011
X.Bipolar.qn.2	22	16868045	24314208	3016	-0.0023
X.Bipolar.qn.2	22	24372133	24384340	7	0.2538
X.Bipolar.qn.2	22	24399518	37099752	4534	-0.0043
X.Bipolar.qn.2	22	37099785	37100051	4	-0.3848
X.Bipolar.qn.2	22	37100292	51222011	8284	-0.0031
X.Bipolar.qn.2	3	64070	183852756	38409	0
X.Bipolar.qn.2	3	183852781	183852786	2	-0.5064
X.Bipolar.qn.2	3	183852871	195339050	3918	1e-04
X.Bipolar.qn.2	3	195423806	195453021	12	-0.1807
X.Bipolar.qn.2	3	195454591	197840782	1231	0.0028
X.Bipolar.qn.2	4	43882	1993400	2079	-0.0072
X.Bipolar.qn.2	4	1993409	1994871	8	-0.2335
X.Bipolar.qn.2	4	1995036	190943979	29884	9e-04
X.Bipolar.qn.2	5	12322	129006623	22387	0.0025
X.Bipolar.qn.2	5	129022902	129023705	3	-0.4853
X.Bipolar.qn.2	5	129074344	140553150	4563	0.0045
X.Bipolar.qn.2	5	140554819	140557249	4	0.6667
X.Bipolar.qn.2	5	140559871	180876284	12429	0.0029
X.Bipolar.qn.2	6	154566	257261	40	-0.0043
X.Bipolar.qn.2	6	257504	293285	18	-0.3336
X.Bipolar.qn.2	6	297974	31237824	12731	0.0033
X.Bipolar.qn.2	6	31238036	31239324	5	-0.4478
X.Bipolar.qn.2	6	31239411	31649728	843	-0.0018
X.Bipolar.qn.2	6	31650735	31651362	17	0.18
X.Bipolar.qn.2	6	31651411	32320715	2295	-0.0024
X.Bipolar.qn.2	6	32324878	32330188	2	-0.6396
X.Bipolar.qn.2	6	32330197	171033352	30830	3e-04
X.Bipolar.qn.2	7	41525	26132589	8890	-0.0081
X.Bipolar.qn.2	7	26137796	26143257	4	-0.4868
X.Bipolar.qn.2	7	26156403	159023827	31040	-0.002
X.Bipolar.qn.2	8	176533	82754313	18398	-4e-04
X.Bipolar.qn.2	8	82754452	82754900	4	-0.4365
X.Bipolar.qn.2	8	82755111	146295100	15182	-0.0027
X.Bipolar.qn.2	9	73704	141102504	23041	7e-04
X.Bipolar.qn.3	1	69591	1625689	1425	-0.0165
X.Bipolar.qn.3	1	1650919	1674679	10	0.1897
X.Bipolar.qn.3	1	1680232	44874576	23614	-0.0082
X.Bipolar.qn.3	1	44874649	44882329	8	0.2188
X.Bipolar.qn.3	1	44883137	104096621	12564	0.0041
X.Bipolar.qn.3	1	104104336	104490947	10	0.221
X.Bipolar.qn.3	1	104496349	152506922	6648	-0.004
